RADIO,LOCALIDADE,DATAEHORA,CAMPANHA,FRASE
Rádio Santa Fé,Santa Fé,Tue Oct 25 2022 09:52:00 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vai aumentar acima
Rádio Santa Fé,Santa Fé,Tue Oct 25 2022 21:39:22 GMT-0300 (Brasilia Standard Time),LULA,com Bolsonaro vai piorar
Rádio Santa Fé,Santa Fé,Tue Oct 25 2022 22:40:10 GMT-0300 (Brasilia Standard Time),LULA,com Bolsonaro vai piorar
Rádio Santa Fé,Santa Fé,Tue Oct 25 2022 23:19:43 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
Rádio Santa Fé,Santa Fé,Tue Oct 25 2022 23:39:31 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro anunciou o fim dos reajustes pela inflação
Rádio Timbira AM,São Luís,Tue Oct 25 2022 10:35:44 GMT-0300 (Brasilia Standard Time),LULA,Fala presidente Lula
Rádio Timbira AM,São Luís,Tue Oct 25 2022 22:08:18 GMT-0300 (Brasilia Standard Time),LULA,Agora é lula
Rádio Timbira AM,São Luís,Tue Oct 25 2022 22:36:30 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro anunciou o fim dos reajustes pela inflação
Rádio Timbira AM,São Luís,Tue Oct 25 2022 23:08:05 GMT-0300 (Brasilia Standard Time),LULA,Fala presidente Lula
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 07:49:22 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro anunciou o fim dos reajustes pela inflação
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 07:54:20 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 09:18:05 GMT-0300 (Brasilia Standard Time),LULA,Lula é salário mínimo forte e aumento acima
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 09:43:31 GMT-0300 (Brasilia Standard Time),LULA,Bolsonaro anunciou o fim dos reajustes pela inflação
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 09:54:15 GMT-0300 (Brasilia Standard Time),BOLSONARO,Neste domingo vinte e dois pelo bem do Brasil
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 10:20:08 GMT-0300 (Brasilia Standard Time),LULA,Fala presidente Lula
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 21:12:50 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 21:14:42 GMT-0300 (Brasilia Standard Time),LULA,Fala presidente Lula
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 21:23:30 GMT-0300 (Brasilia Standard Time),BOLSONARO,Bolsonaro vai aumentar acima
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 21:25:23 GMT-0300 (Brasilia Standard Time),LULA,Agora é lula
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 22:42:00 GMT-0300 (Brasilia Standard Time),BOLSONARO,Lula e da Dilma mandaram o dinheiro dos
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 22:43:45 GMT-0300 (Brasilia Standard Time),LULA,com Bolsonaro vai piorar
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 23:55:29 GMT-0300 (Brasilia Standard Time),BOLSONARO,corrupção no governo Lula
Super Rádio Tupi,Rio de Janeiro,Tue Oct 25 2022 23:57:49 GMT-0300 (Brasilia Standard Time),LULA,Fala presidente Lula
